DLL Identifier (Author),Authorized Name,Language,Variant
A5583,"Severus, Lucius Septimius, Emperor of Rome",Latin,"Severus, Lucius Septimius, Emperor of Rome"
A5583,"Severus, Lucius Septimius, Emperor of Rome",Latin,"Severus, Lucius Septimius, Emperor of Rome 146-211"
A5583,"Severus, Lucius Septimius, Emperor of Rome",Latin,"Severus, Lucius Septimius, Emperor of Rome, 146-211"
A5583,"Severus, Lucius Septimius, Emperor of Rome",Latin,"Severus, Lucius Septimius, imperatore romano, 146-211"
A5583,"Severus, Lucius Septimius, Emperor of Rome",Latin,"Severus, Lucius Septimius, romersk kejsare, 146-211"
A5583,"Severus, Lucius Septimius, Emperor of Rome",Latin,"Severus, Septimius 146-211 Romos imperatorius"
A5584,"Buridan, Jean, 1300-1358",Latin,"Buridan, Jean (około 1300-około 1358)."
A5584,"Buridan, Jean, 1300-1358",Latin,"Buridan, Jean apie 1300-1358"
A5584,"Buridan, Jean, 1300-1358",Latin,"Buridan, Jean, 1300-1358"
A5584,"Buridan, Jean, 1300-1358",Latin,"Buridan, Jean, 1300?-1358"
A5584,"Buridan, Jean, 1300-1358",Latin,"Buridan, Jean, asi 1300-1358"
A5584,"Buridan, Jean, 1300-1358",Latin,"Buridan, Jean, ca 1295-ca 1358"
A5584,"Buridan, Jean, 1300-1358",Latin,"Buridan, Jean, fl. 1328-1358"
A5584,"Buridan, Jean, 1300-1358",Latin,"Buridan, Jean, umbes 1300-umbes 1358."
A5584,"Buridan, Jean, 1300-1358",Latin,"Buridan, Johannes 1300-1358"
A5584,"Buridan, Jean, 1300-1358",Latin,"Buridanus, Iohannes, 1300-1358"
A5584,"Buridan, Jean, 1300-1358",Latin,"Buridanus, Johannes, ca. 1300-ca. 1358"
A5584,"Buridan, Jean, 1300-1358",Latin,John Buridan
A5585,"John XXI, Pope, -1277",Latin,Iohannes PP 1226-1277 XXI
A5585,"John XXI, Pope, -1277",Latin,"John XXI, Pope, -1277"
A5585,"John XXI, Pope, -1277",Latin,Pedro Hispano
A5585,"John XXI, Pope, -1277",Latin,Peter of Spain
A5585,"John XXI, Pope, -1277",Latin,Petrus Hispanus
A5585,"John XXI, Pope, -1277",Latin,"Petrus Iuliani, 1226-1277"
A5585,"John XXI, Pope, -1277",Latin,Petrus Hispanus
A5585,"John XXI, Pope, -1277",Latin,"Petrus Iuliani, 1226-1277"
A5585,"John XXI, Pope, -1277",Latin,Peter of Spain
A5585,"John XXI, Pope, -1277",Latin,Iohannes PP 1226-1277 XXI
A5585,"John XXI, Pope, -1277",Latin,Pedro Hispano
A5585,"John XXI, Pope, -1277",Latin,"John XXI, Pope, -1277"
A5586,"Caracalla, Emperor of Rome",Latin,"Antoninus Augustus, Marcus Aurelius, imperatore romano, 188-217"
A5586,"Caracalla, Emperor of Rome",Latin,"Antoninus, Marcus Aurelius, imperatore romano, 188-217"
A5586,"Caracalla, Emperor of Rome",Latin,"Aurelius Antoninus, Marcus, imperatore romano, 188-217"
A5586,"Caracalla, Emperor of Rome",Latin,Caracala 188-217 Imperador de Roma
A5586,"Caracalla, Emperor of Rome",Latin,Caracalla 188-217 Kaiser von Rom
A5586,"Caracalla, Emperor of Rome",Latin,Caracalla empereur romain 0186-0217
A5586,"Caracalla, Emperor of Rome",Latin,Caracalla romersk keiser 186-217
A5586,"Caracalla, Emperor of Rome",Latin,"Caracalla Römisches Reich, Kaiser ca. 186-217"
A5586,"Caracalla, Emperor of Rome",Latin,"Caracalla, 0188-0217, empereur romain"
A5586,"Caracalla, Emperor of Rome",Latin,"Caracalla, Emperor of Rome"
A5586,"Caracalla, Emperor of Rome",Latin,"Caracalla, Emperor of Rome, 188-217"
A5586,"Caracalla, Emperor of Rome",Latin,"Caracalla, imperatore romano, 188-217"
A5586,"Caracalla, Emperor of Rome",Latin,"Caracal·la, Marc Aureli Antoní, emperador de Roma, 188-217"
A5586,"Caracalla, Emperor of Rome",Latin,"Caracalla, římský císař, 188-217"
A5586,"Caracalla, Emperor of Rome",Latin,Karakalla (cesarz rzymski 
A5586,"Caracalla, Emperor of Rome",Latin, 186-217)
A5586,"Caracalla, Emperor of Rome",Latin,Karakalla (cesarz rzymski 188-217).
A5586,"Caracalla, Emperor of Rome",Latin,"Marcus Aurelius Antoninus (Roman emperor, 188-217 CE (reigned from 211))"
A5586,"Caracalla, Emperor of Rome",Latin,"Marcus Aurelius Antoninus, imperatore romano, 188-217"
A5586,"Caracalla, Emperor of Rome",Latin,Marcus Aurelius Severus Antoninus Augustus
A5587,"Hugh, of Saint-Victor, 1096?-1141",Latin,"Hug, de Sant Víctor, 1096-1141"
A5587,"Hugh, of Saint-Victor, 1096?-1141",Latin,Hugh of Saint Victor
A5587,"Hugh, of Saint-Victor, 1096?-1141",Latin,"Hugh, of Saint-Victor"
A5587,"Hugh, of Saint-Victor, 1096?-1141",Latin,Hugo : de Sancto Victore
A5587,"Hugh, of Saint-Victor, 1096?-1141",Latin,Hugo a Sancto Victore (około 1096-1141).
A5587,"Hugh, of Saint-Victor, 1096?-1141",Latin,"Hugo av Saint-Victor, 1096?-1141"
A5587,"Hugh, of Saint-Victor, 1096?-1141",Latin,Hugo de Sancto Victore
A5587,"Hugh, of Saint-Victor, 1096?-1141",Latin,"Hugo de Sancto Victore, 1096?-1141"
A5587,"Hugh, of Saint-Victor, 1096?-1141",Latin,"Hugo Saint Victorist, 1096-1141."
A5587,"Hugh, of Saint-Victor, 1096?-1141",Latin,Hugo van Sint-Victor
A5587,"Hugh, of Saint-Victor, 1096?-1141",Latin,Hugo von Sankt Victor 1096-1141
A5587,"Hugh, of Saint-Victor, 1096?-1141",Latin,"Hugo, de Sancto-Victore, ca. 1096-1141"
A5587,"Hugh, of Saint-Victor, 1096?-1141",Latin,Hugon od św. Wiktora (ok. 1096-1141)
A5587,"Hugh, of Saint-Victor, 1096?-1141",Latin,Hugonis de Sancto Victore
A5587,"Hugh, of Saint-Victor, 1096?-1141",Latin,Hugues de Saint-Victor (12ος αι.)
A5587,"Hugh, of Saint-Victor, 1096?-1141",Latin,"Hugues de Saint-Victor, asi 1096-1141"
A5587,"Hugh, of Saint-Victor, 1096?-1141",Latin,"Hugues, de Saint-Victor, 1096?-1141"
A5588,"Pellicanus, Konrad, 1478-1556",Latin,Conrad Kürsner
A5588,"Pellicanus, Konrad, 1478-1556",Latin,Conradus Pellicanus
A5588,"Pellicanus, Konrad, 1478-1556",Latin,"Pellican, Conrad, 1478-1556"
A5588,"Pellicanus, Konrad, 1478-1556",Latin,Pellicanus Conradus
A5588,"Pellicanus, Konrad, 1478-1556",Latin,"Pellicanus, Conrad, 1478-1556"
A5588,"Pellicanus, Konrad, 1478-1556",Latin,"Pellicanus, Conradus, 1478-1556"
A5588,"Pellicanus, Konrad, 1478-1556",Latin,"Pellikan, Conrad"
A5588,"Pellicanus, Konrad, 1478-1556",Latin,"Pellikan, Conrad (1478-1556)"
A5588,"Pellicanus, Konrad, 1478-1556",Latin,"Pellikan, Konrad, 1478-1556"
A5588,"Pellicanus, Konrad, 1478-1556",Latin,"Pellikanus, Konrad (1478-1556)."
A5589,"Philargyrius, Junius",Latin,Iunius Filargirius
A5589,"Philargyrius, Junius",Latin,Junius Philargyrius
A5589,"Philargyrius, Junius",Latin,Philargyrius
A5589,"Philargyrius, Junius",Latin,"Philargyrius, Iunius."
A5589,"Philargyrius, Junius",Latin,"Philargyrius, Junius"
A5589,"Philargyrius, Junius",Latin,"Philargyrius, Junius 1500-t"
A5589,"Philargyrius, Junius",Latin,"Philargyrius, Junius, 03..-04.."
A5589,"Philargyrius, Junius",Latin,"Philargyrius, Junius 1500-t"
A5589,"Philargyrius, Junius",Latin,"Philargyrius, Iunius."
A5589,"Philargyrius, Junius",Latin,"Philargyrius, Junius"
A5589,"Philargyrius, Junius",Latin,"Philargyrius, Junius, 03..-04.."
A5589,"Philargyrius, Junius",Latin,Junius Philargyrius
A5589,"Philargyrius, Junius",Latin,Iunius Filargirius
A5589,"Philargyrius, Junius",Latin,Philargyrius
A5590,"Aleandro, Girolamo, 1480-1542",Latin,"Aleander, Hieronymus, 1480-1542."
A5590,"Aleandro, Girolamo, 1480-1542",Latin,"Aleander, Hieronymus, card., 1480-1542"
A5590,"Aleandro, Girolamo, 1480-1542",Latin,"Aleandro, Gerolamo, 1480-1542"
A5590,"Aleandro, Girolamo, 1480-1542",Latin,"Aleandro, Girolamo  <il vecchio>"
A5590,"Aleandro, Girolamo, 1480-1542",Latin,"Aleandro, Girolamo (kardynał "
A5590,"Aleandro, Girolamo, 1480-1542",Latin, 1480-1542)
A5590,"Aleandro, Girolamo, 1480-1542",Latin,"Aleandro, Girolamo Cardinal"
A5590,"Aleandro, Girolamo, 1480-1542",Latin,"Aleandro, Girolamo, card., 1480-1542"
A5590,"Aleandro, Girolamo, 1480-1542",Latin,"Aleandro, Gerolamo, 1480-1542"
A5590,"Aleandro, Girolamo, 1480-1542",Latin,"Aleandro, Girolamo (kardynał "
A5590,"Aleandro, Girolamo, 1480-1542",Latin, 1480-1542)
A5590,"Aleandro, Girolamo, 1480-1542",Latin,"Aleander, Hieronymus, card., 1480-1542"
A5590,"Aleandro, Girolamo, 1480-1542",Latin,"Aleandro, Girolamo  <il vecchio>"
A5590,"Aleandro, Girolamo, 1480-1542",Latin,"Aleandro, Girolamo, card., 1480-1542"
A5590,"Aleandro, Girolamo, 1480-1542",Latin,"Aleandro, Girolamo Cardinal"
A5590,"Aleandro, Girolamo, 1480-1542",Latin,"Aleander, Hieronymus, 1480-1542."
A5591,"John XXII, Pope, -1334",Latin,Ioannes папа XXII 1245-1334
A5591,"John XXII, Pope, -1334",Latin,Iohannes XXII
A5591,"John XXII, Pope, -1334",Latin,Iohannes XXII 1245–1334 Papa
A5591,"John XXII, Pope, -1334",Latin,Jan XXII (papież 
A5591,"John XXII, Pope, -1334",Latin, 1245-1334).
A5591,"John XXII, Pope, -1334",Latin,"Jan XXII., papež, 1244-1334"
A5591,"John XXII, Pope, -1334",Latin,Jean XXII
A5591,"John XXII, Pope, -1334",Latin,Jean XXII pape 1245-1334
A5591,"John XXII, Pope, -1334",Latin,"Jean XXII, 1245-1334, pape"
A5591,"John XXII, Pope, -1334",Latin,"Jean XXII, pape, -1334"
A5591,"John XXII, Pope, -1334",Latin,"Joan XXII, papa, 1249?-1334"
A5591,"John XXII, Pope, -1334",Latin,"João XXII, Papa, 1245-1334."
A5591,"John XXII, Pope, -1334",Latin,Johannes XXII. Papst 1244-1334
A5591,"John XXII, Pope, -1334",Latin,John XXII
A5591,"John XXII, Pope, -1334",Latin,"John XXII, Pope"
A5591,"John XXII, Pope, -1334",Latin,"John XXII, Pope, d. 1334"
A5592,"Palladius, Bishop of Ratiaria",Latin,Palladius active 4th century Bishop of Ratiaria
A5592,"Palladius, Bishop of Ratiaria",Latin,Palladius Ratiarensis
A5592,"Palladius, Bishop of Ratiaria",Latin,"Palladius Ratiarensis, 030.-038."
A5592,"Palladius, Bishop of Ratiaria",Latin,Palladius active 4th century Bishop of Ratiaria
A5592,"Palladius, Bishop of Ratiaria",Latin,Palladius Ratiwrensis
A5592,"Palladius, Bishop of Ratiaria",Latin,Palladius Rwtiarensis
A5592,"Palladius, Bishop of Ratiaria",Latin,Palladius Ratiarensis
A5592,"Palladius, Bishop of Ratiaria",Latin,"Palladius Ratiarensis, 030.-038."
A5593,"Duns Scotus, John, approximately 1266-1308",Latin,"Duns Scot, John, 1266-1308"
A5593,"Duns Scotus, John, approximately 1266-1308",Latin,"Duns Scotus, Ioannes"
A5593,"Duns Scotus, John, approximately 1266-1308",Latin,"Duns Scotus, Ioannes, asi 1265-1308"
A5593,"Duns Scotus, John, approximately 1266-1308",Latin,"Duns Scotus, Iohannes"
A5593,"Duns Scotus, John, approximately 1266-1308",Latin,"Duns Scotus, Iohannes, b., 1266-1308"
A5593,"Duns Scotus, John, approximately 1266-1308",Latin,"Duns Scotus, Joannes"
A5593,"Duns Scotus, John, approximately 1266-1308",Latin,"Duns Scotus, Joannes, ca. 1265-1308"
A5593,"Duns Scotus, John, approximately 1266-1308",Latin,"Duns Scotus, Johannes, 1265-1308"
A5593,"Duns Scotus, John, approximately 1266-1308",Latin,"Duns Scotus, Johannes, 1266-1308, O.F.M."
A5593,"Duns Scotus, John, approximately 1266-1308",Latin,"Duns Scotus, Johannes, ca 1266-1308"
A5593,"Duns Scotus, John, approximately 1266-1308",Latin,"Duns Scotus, Johannes, umbes 1266-1308."
A5593,"Duns Scotus, John, approximately 1266-1308",Latin,"Duns Scotus, John 1266–1308"
A5593,"Duns Scotus, John, approximately 1266-1308",Latin,"Duns Scotus, John,  ok. 1266-1308"
A5593,"Duns Scotus, John, approximately 1266-1308",Latin,"Duns Scotus, John, ap 1266-1308"
A5593,"Duns Scotus, John, approximately 1266-1308",Latin,"Duns Scotus, John, approximately 1266-1308"
A5593,"Duns Scotus, John, approximately 1266-1308",Latin,"Duns Scotus, John, aproximadament 1266-1308"
A5593,"Duns Scotus, John, approximately 1266-1308",Latin,"Duns Scotus, John, Aproximadamente 1266-1308"
A5593,"Duns Scotus, John, approximately 1266-1308",Latin,"Duns Scotus, John, ca. 1266-1308."
A5593,"Duns Scotus, John, approximately 1266-1308",Latin,"Duns Scotus, loannis 1266-1308"
A5593,"Duns Scotus, John, approximately 1266-1308",Latin,"Duns, Iohannes Scotus, b., 1266-1308"
A5593,"Duns Scotus, John, approximately 1266-1308",Latin,"Duns, Joannes Scotus"
A5593,"Duns Scotus, John, approximately 1266-1308",Latin,Erigena
A5593,"Duns Scotus, John, approximately 1266-1308",Latin,"Iohannes Duns Scotus, b., 1266-1308"
A5593,"Duns Scotus, John, approximately 1266-1308",Latin,Jan Duns Szkot (błogosławiony 
A5593,"Duns Scotus, John, approximately 1266-1308",Latin, ok. 1266-1308)
A5593,"Duns Scotus, John, approximately 1266-1308",Latin,Jan Duns Szkot (błogosławiony 
A5593,"Duns Scotus, John, approximately 1266-1308",Latin, około 1266-1308).
A5593,"Duns Scotus, John, approximately 1266-1308",Latin,Jan Duns Szkot ca 1266-1308) (bł. 
A5593,"Duns Scotus, John, approximately 1266-1308",Latin,
A5593,"Duns Scotus, John, approximately 1266-1308",Latin,Johannes Duns Scotus 1266-1308
A5593,"Duns Scotus, John, approximately 1266-1308",Latin,John Duns Scot
A5593,"Duns Scotus, John, approximately 1266-1308",Latin,"Juan Duns Escoto, Beato"
A5593,"Duns Scotus, John, approximately 1266-1308",Latin,"Scoto, Giovanni Duns, b., 1266-1308"
A5594,"Vel, Caspar Ursinus, 1493-1538",Latin,Caspar Ursinus Velius
A5594,"Vel, Caspar Ursinus, 1493-1538",Latin,"Caspar Ursinus Velius Humanist, Dichter, Historiograph"
A5594,"Vel, Caspar Ursinus, 1493-1538",Latin,"Ursinus Velius, Caspar"
A5594,"Vel, Caspar Ursinus, 1493-1538",Latin,"Ursinus Velius, Caspar, 1493-1539"
A5594,"Vel, Caspar Ursinus, 1493-1538",Latin,"Ursinus Velius, Caspar, c. 1493-1539"
A5594,"Vel, Caspar Ursinus, 1493-1538",Latin,"Ursinus, Caspar Velius (1493-1539)"
A5594,"Vel, Caspar Ursinus, 1493-1538",Latin,"Ursinus, Kaspar Velius (1493-1539)."
A5594,"Vel, Caspar Ursinus, 1493-1538",Latin,"Vel, Caspar"
A5594,"Vel, Caspar Ursinus, 1493-1538",Latin,"Vel, Caspar Ursinus, 1493-1538"
A5594,"Vel, Caspar Ursinus, 1493-1538",Latin,"Velius, Caspar Ursinus"
A5594,"Vel, Caspar Ursinus, 1493-1538",Latin,"Velius, Caspar Ursinus, 1493–1539"
A5594,"Vel, Caspar Ursinus, 1493-1538",Latin,"Velius, Caspar Ursinus, ca. 1493-1538"
A5595,"Barclay, John, 1582-1621",Latin,"Barclaius, Ioannes, 1582-1621"
A5595,"Barclay, John, 1582-1621",Latin,"Barclay, J:ohn, 1582-1621"
A5595,"Barclay, John, 1582-1621",Latin,"Barclay, J. 1582-1621 John"
A5595,"Barclay, John, 1582-1621",Latin,"Barclay, Jean, 1582-1621"
A5595,"Barclay, John, 1582-1621",Latin,"Barclay, John"
A5595,"Barclay, John, 1582-1621",Latin,"Barclay, John, 1582-1621."
A5595,"Barclay, John, 1582-1621",Latin,Ioannes Barclaius
A5595,"Barclay, John, 1582-1621",Latin,Joannes Barclajus
A5595,"Barclay, John, 1582-1621",Latin,"Lusininus, Euphormio, 1582-1621"
A5596,"Cardano, Girolamo, 1501-1576",Latin,"Cardano, Gerolamo"
A5596,"Cardano, Girolamo, 1501-1576",Latin,"Cardano, Gerolamo, 1501-1576"
A5596,"Cardano, Girolamo, 1501-1576",Latin,"Cardano, Gerolamo, 1501-1576."
A5596,"Cardano, Girolamo, 1501-1576",Latin,"Cardano, Geronimo, 1501-1576"
A5596,"Cardano, Girolamo, 1501-1576",Latin,"Cardano, Girolamo ca. 1501-1576"
A5596,"Cardano, Girolamo, 1501-1576",Latin,"Cardano, Girolamo, 1501-1576"
A5596,"Cardano, Girolamo, 1501-1576",Latin,"Cardano, Girolamo, 1501-1576."
A5596,"Cardano, Girolamo, 1501-1576",Latin,"Cardanus, Hieronymus, 1501-1576"
A5596,"Cardano, Girolamo, 1501-1576",Latin,Gerolamo Cardano
A5596,"Cardano, Girolamo, 1501-1576",Latin,Hieronymus Cardanus
A5597,"Della Rena, Andrea, 1478-1517",Latin,"Ammònio, Andrea, 1476-1517"
A5597,"Della Rena, Andrea, 1478-1517",Latin,"Ammonio, Andrea, 1477-1517"
A5597,"Della Rena, Andrea, 1478-1517",Latin,"Ammonius, Andreas"
A5597,"Della Rena, Andrea, 1478-1517",Latin,Andrea Della Rena
A5597,"Della Rena, Andrea, 1478-1517",Latin,"Della Rena, Andrea"
A5597,"Della Rena, Andrea, 1478-1517",Latin,"Della Rena, Andrea, 1477-1517"
A5597,"Della Rena, Andrea, 1478-1517",Latin,"Ammònio, Andrea, 1476-1517"
A5597,"Della Rena, Andrea, 1478-1517",Latin,"Della Rena, Andrea, 1477-1517"
A5597,"Della Rena, Andrea, 1478-1517",Latin,"Della Rena, Andrea"
A5597,"Della Rena, Andrea, 1478-1517",Latin,"Ammonius, Andreas"
A5597,"Della Rena, Andrea, 1478-1517",Latin,"Ammonio, Andrea, 1477-1517"
A5597,"Della Rena, Andrea, 1478-1517",Latin,Andrea Della Rena
A5598,"Acosta, José de, 1540-1600",Latin,"Acosta, José de"
A5598,"Acosta, José de, 1540-1600",Latin,"Acosta, José de, 1539-1600"
A5598,"Acosta, José de, 1540-1600",Latin,"Acosta, Jose de, 1540-1600"
A5598,"Acosta, José de, 1540-1600",Latin,"Acosta, José de, 1540-1600"
A5598,"Acosta, José de, 1540-1600",Latin,"Acosta, José de, 1540-1600"
A5598,"Acosta, José de, 1540-1600",Latin,"Acosta, José de, 1540-1600."
A5598,"Acosta, José de, 1540-1600",Latin,"Acosta, José de, ca 1539-1600, S.J."
A5598,"Acosta, José de, 1540-1600",Latin,"Acosta, José de, S.I., 1540-1600"
A5598,"Acosta, José de, 1540-1600",Latin,Iosephus‏ Acosta
A5598,"Acosta, José de, 1540-1600",Latin,José de Acosta
A5599,"Alexander, Magister, active 1210-1230",Latin,Alexander Magister
A5599,"Alexander, Magister, active 1210-1230",Latin,Alexandre (atelier)
A5599,"Alexander, Magister, active 1210-1230",Latin,Alexandre (atklier)
A5599,"Alexander, Magister, active 1210-1230",Latin,Alexandre (atelier)
A5599,"Alexander, Magister, active 1210-1230",Latin,Alexandre (attlier)
A5599,"Alexander, Magister, active 1210-1230",Latin,Alexandre (atedier)
A5599,"Alexander, Magister, active 1210-1230",Latin,Alexander Magister
A5599,"Alexander, Magister, active 1210-1230",Latin,Alexanjoe (atelier)
A5600,"Budé, Guillaume, 1468-1540",Latin,"Budaeus, Guilielmus, 1468-1540"
A5600,"Budé, Guillaume, 1468-1540",Latin,"Budé, Guillaume"
A5600,"Budé, Guillaume, 1468-1540",Latin,"Budé, Guillaume, 1467-1540."
A5600,"Budé, Guillaume, 1468-1540",Latin,"Budé, Guillaume, 1467/68-1540"
A5600,"Budé, Guillaume, 1468-1540",Latin,"Budé, Guillaume, 1468-1540"
A5600,"Budé, Guillaume, 1468-1540",Latin,"Budé, Guillaume, 1468-1540."
A5600,"Budé, Guillaume, 1468-1540",Latin,"Budeo, Guglielmo, 1468-1540"
A5600,"Budé, Guillaume, 1468-1540",Latin,"Budeus, Guilielmus, 1468-1540"
A5600,"Budé, Guillaume, 1468-1540",Latin,Guilielmus Budaeus
A5601,"Linné, Carl von, 1707-1778",Latin,Carl Linnaeus
A5601,"Linné, Carl von, 1707-1778",Latin,Carl von Linné
A5601,"Linné, Carl von, 1707-1778",Latin,Carolus Linnaeus
A5601,"Linné, Carl von, 1707-1778",Latin,"Linnaeus, Carl, 1707-1778"
A5601,"Linné, Carl von, 1707-1778",Latin,"Linnaeus, Carolus"
A5601,"Linné, Carl von, 1707-1778",Latin,"Linné, Carl von"
A5601,"Linné, Carl von, 1707-1778",Latin,"Linné, Carl von (Linnaeus)"
A5601,"Linné, Carl von, 1707-1778",Latin,"Linné, Carl von (Swedish naturalist, scholar, 1707-1778)"
A5601,"Linné, Carl von, 1707-1778",Latin,"Linné, Carl von, 1707-1778"
A5601,"Linné, Carl von, 1707-1778",Latin,"Linné, Karl : af"
A5601,"Linné, Carl von, 1707-1778",Latin,"Linné, Karl von, 1707-1778."
A5601,"Linné, Carl von, 1707-1778",Latin,"Linneusz, Karol (1707-1778)"
A5602,"Jacobi, C. G. J. (Carl Gustav Jakob), 1804-1851",Latin,Carolus Gustavus Iacobus Iacobi
A5602,"Jacobi, C. G. J. (Carl Gustav Jakob), 1804-1851",Latin,"Jacobi, C. G. J. (Carl Gustav Jakob)"
A5602,"Jacobi, C. G. J. (Carl Gustav Jakob), 1804-1851",Latin,"Jacobi, C. G. J. 1804-1851"
A5602,"Jacobi, C. G. J. (Carl Gustav Jakob), 1804-1851",Latin,"Jacobi, C.G.J."
A5602,"Jacobi, C. G. J. (Carl Gustav Jakob), 1804-1851",Latin,"Jacobi, Carl Gustav J. (Carl Gustav Jacob), 1804-1851"
A5602,"Jacobi, C. G. J. (Carl Gustav Jakob), 1804-1851",Latin,"Jacobi, Carl Gustav Jacob"
A5602,"Jacobi, C. G. J. (Carl Gustav Jakob), 1804-1851",Latin,"Jacobi, Carl Gustav Jacob, 1804-1851."
A5602,"Jacobi, C. G. J. (Carl Gustav Jakob), 1804-1851",Latin,"Jacobi, Carl Gustav Jakob, 1804-1851"
A5602,"Jacobi, C. G. J. (Carl Gustav Jakob), 1804-1851",Latin,"Jacobi, Karl Gustav Jacob"
A5603,"Gessner, Conrad, 1516-1565",Latin,"Euonymus Philiater, 1516-1565"
A5603,"Gessner, Conrad, 1516-1565",Latin,"Evonymus Philiater, 1516-1565"
A5603,"Gessner, Conrad, 1516-1565",Latin,"Gesner, Conrad"
A5603,"Gessner, Conrad, 1516-1565",Latin,"Gesner, Conrad, 1516-1565."
A5603,"Gessner, Conrad, 1516-1565",Latin,"Gesner, Konrad"
A5603,"Gessner, Conrad, 1516-1565",Latin,"Gessner, Conrad"
A5603,"Gessner, Conrad, 1516-1565",Latin,"Gessner, Konrad, 1516-1565"
A5603,"Gessner, Conrad, 1516-1565",Latin,"Philiater, Euonymus, 1516-1565"
A5604,"Horne, Andrew, -1328",Latin,"Andrew Horn English fishmonger, lawyer and legal scholar who served as Chamberlain of the City of London"
A5604,"Horne, Andrew, -1328",Latin,Andrew Horne
A5604,"Horne, Andrew, -1328",Latin,"Horne, Andrew, -1328"
A5604,"Horne, Andrew, -1328",Latin,"Horne, Andrew, ?-1328"
A5604,"Horne, Andrew, -1328",Latin,"Horne, Andrew, 12..-1328"
A5604,"Horne, Andrew, -1328",Latin,"Horne, Andrew, d. 1328"
A5604,"Horne, Andrew, -1328",Latin,Andrew Horne
A5604,"Horne, Andrew, -1328",Latin,"Andrew Horn English fishmonger, lawyer and legal scholar who served as Chamberlain of the City of London"
A5604,"Horne, Andrew, -1328",Latin,"Horne, Andrew, ?-1328"
A5604,"Horne, Andrew, -1328",Latin,"Horne, Andrew, d. 1328"
A5604,"Horne, Andrew, -1328",Latin,"Horne, Andrew, 12..-1328"
A5604,"Horne, Andrew, -1328",Latin,"Horne, Andrew, -1328"
A5606,"Fracastoro, Girólamo, 1478-1553",Latin,"Fracastoro, Girolamo"
A5606,"Fracastoro, Girólamo, 1478-1553",Latin,"Fracastoro, Girolamo apie 1478-1553"
A5606,"Fracastoro, Girólamo, 1478-1553",Latin,Girolamo Fracastoro
A5606,"Fracastoro, Girólamo, 1478-1553",Latin,Girólamo Fracastoro
A5606,"Fracastoro, Girólamo, 1478-1553",Latin,"Fracastoro, Girolamo"
A5606,"Fracastoro, Girólamo, 1478-1553",Latin,"Fracastoro, Girolamo apie 1478-1553"
A5606,"Fracastoro, Girólamo, 1478-1553",Latin,Girólamo Fracastoro
A5606,"Fracastoro, Girólamo, 1478-1553",Latin,Girolamo Fracastoro
A5607,"Bembo, Pietro, 1470-1547",Latin,"Bembo, P. кардинал 1470-1547 Pietro"
A5607,"Bembo, Pietro, 1470-1547",Latin,"Bembo, Pietro"
A5607,"Bembo, Pietro, 1470-1547",Latin,"Bembo, Pietro 1470-1547"
A5607,"Bembo, Pietro, 1470-1547",Latin,"Bembo, Pietro, 1470-1547"
A5607,"Bembo, Pietro, 1470-1547",Latin,"Bembo, Pietro, 1470-1547."
A5607,"Bembo, Pietro, 1470-1547",Latin,"Bembo, Pietro, card., 1470-1547"
A5607,"Bembo, Pietro, 1470-1547",Latin,"Bembo, Pietro, Cardinal (Italian cardinal, scholar, 1470-1547)"
A5607,"Bembo, Pietro, 1470-1547",Latin,Petrus Bembus
A5608,"Bonfini, Antonio, 1427-1502",Latin,Antonio Bonfini
A5608,"Bonfini, Antonio, 1427-1502",Latin,Antonio Bonfini umanista e storiografo italiano
A5608,"Bonfini, Antonio, 1427-1502",Latin,Antonius Bonfinius
A5608,"Bonfini, Antonio, 1427-1502",Latin,"Bonfini, Antonio"
A5608,"Bonfini, Antonio, 1427-1502",Latin,"Bonfini, Antonio, 1427-1502"
A5608,"Bonfini, Antonio, 1427-1502",Latin,"Bonfini, Antonio, 1427-1503"
A5608,"Bonfini, Antonio, 1427-1502",Latin,"Bonfini, Antonio, ca 1427-ca 1503"
A5608,"Bonfini, Antonio, 1427-1502",Latin,"Bonfini, Marco Antonio, 1427-1503"
A5609,"Edward, King of England, approximately 1003-1066",Latin,Aedwardus
A5609,"Edward, King of England, approximately 1003-1066",Latin,"Edward approximately 1003-1066 King of England,"
A5609,"Edward, King of England, approximately 1003-1066",Latin,Edward the Confessor
A5609,"Edward, King of England, approximately 1003-1066",Latin,"Edward, King of England, approximately 1003-1066"
A5609,"Edward, King of England, approximately 1003-1066",Latin,"Játvarður, góði, Englandskonungur, 1003?-1066?"
A5609,"Edward, King of England, approximately 1003-1066",Latin,Edward the Confessor
A5609,"Edward, King of England, approximately 1003-1066",Latin,"Edward, King of England, approximately 1003-1066"
A5609,"Edward, King of England, approximately 1003-1066",Latin,"Edward approximately 1003-1066 King of England,"
A5609,"Edward, King of England, approximately 1003-1066",Latin,Aedwardus
A5609,"Edward, King of England, approximately 1003-1066",Latin,"Játvarður, góði, Englandskonungur, 1003?-1066?"
A5610,"Cuthbert, Saint, Bishop of Lindisfarne, approximately 635-687",Latin,"Cuthbert helgen, biskop av Lindisfarne ca. 634-687"
A5610,"Cuthbert, Saint, Bishop of Lindisfarne, approximately 635-687",Latin,"Cuthbert Lindisfarne, Bischof, Heiliger 635-687"
A5610,"Cuthbert, Saint, Bishop of Lindisfarne, approximately 635-687",Latin,"Cuthbert, 063.-0687, saint"
